Proposed_Name	Gene_ID	Gene_Coordinates	strand	hosts	cycle	vibrant_accession	vibrant_title	query_length	interproscan_analysis_database	interproscan_signature_accession	interproscan_signature_description	interproscan_start	interproscan_stop	interproscan_evalue	interproscan_match_status	interproscan_annotation	interproscan_description	BLASTP_Subject_ID	BLASTP_Percent_ID	BLASTP_Alignment_Length	BLASTP_Mismatches	BLASTP_Gap_Openings	BLASTP_Start_Query	BLASTP_End_Query	BLASTP_Start_Subject	BLASTP_End_Subject	BLASTP_E_Value	BLASTP_Bitscore	BLASTP_Query_Length	BLASTP_Subject_Length	BLASTP_Subject_Phylums	BLASTP_Subject_Sciname	BLASTP_Subject_Taxid	BLASTP_Subject_Title
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			PZN00714.1	25	488	254	24	65	536	25	416	1.60E-12	85.1	580	427	Firmicutes	Firmicutes bacterium	1879010	PZN00714.1 hypothetical protein DIU76_12120 [Firmicutes bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			HEA05399.1	54.5	209	87	2	19	225	14	216	4.00E-56	229.9	580	217	N/A	N/A		HEA05399.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			HEA05398.1	54.3	221	96	2	278	498	1	216	2.30E-59	240.7	580	216	N/A	N/A		HEA05398.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			PNX48821.1	32.7	529	336	10	18	535	33	552	8.90E-72	282	580	567	Euryarchaeota	Thermoplasmata archaeon M11B2D	1933281	PNX48821.1 hypothetical protein BV459_01515 [Thermoplasmata archaeon M11B2D]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			RLI45100.1	34.3	557	315	13	10	536	15	550	1.60E-81	314.3	580	570	Candidatus Bathyarchaeota	Candidatus Bathyarchaeota archaeon	2026714	RLI45100.1 hypothetical protein DRO61_11235 [Candidatus Bathyarchaeota archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			HDZ29093.1	54.2	548	234	7	8	553	3	535	6.40E-163	584.7	580	568	N/A	N/A		HDZ29093.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			WP_169725485.1	30.3	261	126	12	282	537	165	374	2.40E-08	71.2	580	396	Firmicutes	Alicyclobacillus contaminans	392016	WP_169725485.1 hypothetical protein [Alicyclobacillus contaminans]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			RMH07852.1	27.1	266	141	14	277	535	170	389	2.40E-08	71.2	580	408	Armatimonadetes	Armatimonadetes bacterium	2033014	RMH07852.1 hypothetical protein D6697_07640 [Armatimonadetes bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			WP_146823918.1	30.8	260	128	14	281	537	186	396	2.80E-09	74.3	580	415	Firmicutes	Alicyclobacillus acidoterrestris	1450	WP_146823918.1 hypothetical protein [Alicyclobacillus acidoterrestris]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			MBC7330269.1	23.3	463	277	14	79	536	19	408	4.30E-10	77	580	425	N/A	N/A		MBC7330269.1 hypothetical protein [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			PZN00714.1	25	488	254	24	65	536	25	416	1.60E-12	85.1	580	427	Firmicutes	Firmicutes bacterium	1879010	PZN00714.1 hypothetical protein DIU76_12120 [Firmicutes bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			HEA05399.1	54.5	209	87	2	19	225	14	216	4.00E-56	229.9	580	217	N/A	N/A		HEA05399.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			HEA05398.1	54.3	221	96	2	278	498	1	216	2.30E-59	240.7	580	216	N/A	N/A		HEA05398.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			PNX48821.1	32.7	529	336	10	18	535	33	552	8.90E-72	282	580	567	Euryarchaeota	Thermoplasmata archaeon M11B2D	1933281	PNX48821.1 hypothetical protein BV459_01515 [Thermoplasmata archaeon M11B2D]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			RLI45100.1	34.3	557	315	13	10	536	15	550	1.60E-81	314.3	580	570	Candidatus Bathyarchaeota	Candidatus Bathyarchaeota archaeon	2026714	RLI45100.1 hypothetical protein DRO61_11235 [Candidatus Bathyarchaeota archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.30.420.240	NA	320	537	1.70E-19	TRUE			HDZ29093.1	54.2	548	234	7	8	553	3	535	6.40E-163	584.7	580	568	N/A	N/A		HDZ29093.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_8	(6895..8325)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PNX48822.1	37.1	399	235	4	48	431	23	420	4.60E-66	262.7	477	447	Euryarchaeota	Thermoplasmata archaeon M11B2D	1933281	PNX48822.1 hypothetical protein BV459_01520 [Thermoplasmata archaeon M11B2D]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_8	(6895..8325)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ28855.1	41.6	478	254	8	1	458	1	473	1.00E-97	367.9	477	502	N/A	N/A		HDZ28855.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_9	(8338..8685)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_10	(8692..8793)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_11	(8790..9149)	1	Lokiarchaeota	Lytic	VOG00106	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RKZ32104.1	32.7	113	65	3	5	117	152	253	8.70E-06	60.5	120	255	0	bacterium	1869227	RKZ32104.1 hypothetical protein DRQ33_06485 [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_11	(8790..9149)	1	Lokiarchaeota	Lytic	VOG00106	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RKZ25567.1	32.5	114	66	2	5	118	144	246	2.70E-07	65.5	120	247	0	bacterium	1869227	RKZ25567.1 hypothetical protein DRQ26_05695 [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_11	(8790..9149)	1	Lokiarchaeota	Lytic	VOG00106	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OGX06478.1	37.8	111	61	2	8	118	9	111	1.20E-07	66.6	120	117	Candidatus Omnitrophica	Omnitrophica WOR_2 bacterium GWA2_47_8	1801840	OGX06478.1 hypothetical protein A2Z88_03410 [Omnitrophica WOR_2 bacterium GWA2_47_8]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_11	(8790..9149)	1	Lokiarchaeota	Lytic	VOG00106	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HHA18786.1	33.3	120	58	3	8	119	7	112	3.80E-09	71.6	120	114	N/A	N/A		HHA18786.1 DUF2479 domain-containing protein [Methylophaga sp.]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_11	(8790..9149)	1	Lokiarchaeota	Lytic	VOG00106	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HHH80446.1	33.9	115	65	2	5	119	201	304	2.60E-10	75.5	120	304	N/A	N/A		HHH80446.1 DUF2479 domain-containing protein [candidate division Zixibacteria bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_12	(9149..9667)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ28853.1	29.9	167	109	5	3	163	4	168	6.60E-07	64.7	173	170	N/A	N/A		HDZ28853.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_13	(9693..10046)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ28852.1	37.5	80	47	2	7	85	13	90	1.00E-06	63.5	118	119	N/A	N/A		HDZ28852.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_14	(10099..11106)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_15	(11122..11646)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA08694.1	42.9	147	83	1	25	171	18	163	8.70E-23	117.5	175	166	N/A	N/A		HEA08694.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_15	(11122..11646)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEC39721.1	49	147	75	0	25	171	18	164	9.60E-30	140.6	175	167	N/A	N/A		HEC39721.1 hypothetical protein [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_16	(11660..12781)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEC39720.1	54.9	375	164	3	3	373	7	380	1.10E-115	427.2	374	380	N/A	N/A		HEC39720.1 hypothetical protein [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_16	(11660..12781)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA08695.1	55.9	374	161	2	3	373	7	379	2.00E-117	433	374	379	N/A	N/A		HEA08695.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_17	(12782..13360)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PNX48636.1	31.3	147	99	2	1	147	1	145	3.00E-08	69.3	193	177	Euryarchaeota	Thermoplasmata archaeon M11B2D	1933281	PNX48636.1 hypothetical protein BV459_01960 [Thermoplasmata archaeon M11B2D]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_17	(12782..13360)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RLC37101.1	32.8	174	104	5	1	173	1	162	5.50E-10	75.1	193	176	0	candidate division Kazan bacterium	2202143	RLC37101.1 hypothetical protein DRH29_03055 [candidate division Kazan bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_17	(12782..13360)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEC39719.1	45.2	177	93	1	5	181	4	176	4.50E-36	161.8	193	190	N/A	N/A		HEC39719.1 hypothetical protein [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_17	(12782..13360)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA08696.1	46.3	177	89	2	5	181	4	174	5.30E-37	164.9	193	190	N/A	N/A		HEA08696.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_18	(13361..13741)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_19	(13731..14357)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA08698.1	45	140	71	2	1	136	1	138	4.00E-22	115.5	209	140	N/A	N/A		HEA08698.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_19	(13731..14357)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ28999.1	42.2	187	102	2	1	183	1	185	8.00E-31	144.4	209	209	N/A	N/A		HDZ28999.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_20	(14431..15864)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PNX48633.1	24.2	359	236	14	147	475	158	510	2.80E-07	67.4	478	510	Euryarchaeota	Thermoplasmata archaeon M11B2D	1933281	PNX48633.1 hypothetical protein BV459_01945 [Thermoplasmata archaeon M11B2D]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_20	(14431..15864)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ29000.1	42.4	486	268	7	1	476	1	484	2.90E-105	392.9	478	485	N/A	N/A		HDZ29000.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_21	(15880..16449)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ29001.1	48.4	182	83	4	4	180	5	180	4.20E-39	171.8	190	200	N/A	N/A		HDZ29001.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_22	(16480..17169)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MBD3352111.1	37.8	193	102	8	10	188	5	193	4.10E-20	109	230	232	N/A	N/A		MBD3352111.1 hypothetical protein [Candidatus Lokiarchaeota archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_22	(16480..17169)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NHJ40122.1	31.4	229	141	6	8	223	7	232	1.30E-21	114	230	235	N/A	N/A		NHJ40122.1 hypothetical protein [Asgard group archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_22	(16480..17169)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEC39714.1	52.7	182	82	3	1	180	1	180	3.00E-47	199.1	230	180	N/A	N/A		HEC39714.1 hypothetical protein [bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_22	(16480..17169)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ29002.1	48.3	230	113	4	1	228	1	226	1.90E-54	223	230	230	N/A	N/A		HDZ29002.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_23	(17156..19033)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_24	(19035..20366)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ29004.1	36.9	312	185	8	135	440	174	479	2.60E-39	173.7	444	482	N/A	N/A		HDZ29004.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_25	(20363..21538)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RLI46013.1	31.9	235	131	5	88	295	48	280	3.10E-20	110.2	392	327	Candidatus Bathyarchaeota	Candidatus Bathyarchaeota archaeon	2026714	RLI46013.1 hypothetical protein DRO61_09790 [Candidatus Bathyarchaeota archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_25	(20363..21538)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDZ29005.1	43.6	225	116	3	65	279	64	287	2.40E-44	190.3	392	289	N/A	N/A		HDZ29005.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_26	(21531..23297)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_27	(23300..25750)	1	Lokiarchaeota	Lytic	VOG16939	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA10922.1	33.4	446	268	11	131	570	155	577	2.40E-46	198	817	1024	N/A	N/A		HEA10922.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_27	(23300..25750)	1	Lokiarchaeota	Lytic	VOG16939	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOR85400.1	32.2	438	256	9	162	572	10	433	1.40E-46	198.7	817	636	N/A	N/A		NOR85400.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_27	(23300..25750)	1	Lokiarchaeota	Lytic	VOG16939	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ALM09909.1	40.3	320	164	9	133	433	702	1013	6.00E-50	209.9	817	1121	Candidatus Peregrinibacteria	Candidatus Peribacter riflensis;Candidatus Peribacteria bacterium RIFOXYB1_FULL_57_12	1735162;1801935	ALM09909.1 integrase catalytic subunit [Candidatus Peribacter riflensis]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_27	(23300..25750)	1	Lokiarchaeota	Lytic	VOG16939	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OEU52203.1	40.1	304	174	7	132	433	419	716	4.60E-50	210.3	817	1341	Proteobacteria	Desulfuromonadales bacterium C00003096	1869311	OEU52203.1 hypothetical protein BA871_06320, partial [Desulfuromonadales bacterium C00003096]
